Vou No.,Vou Date,Party Name,GSTIN No.,City,Place of Supply,Product Name,HSN Code,Quantity-1,Item Amount,Expense / Discount,Tax %,Taxable Amt.,IGST,CGST,SGST,Cess,Bill Amount
SCT/2498,01-11-2025,QCERO CERAMICS LLP,24AAAFQ8463B1ZH,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,100,"6,000.00",0,18,"6,000.00",0,540,540,0,"81,420.00"
SCT/2499,01-12-2025,T TILES,24AATFT9429R1ZY,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,1670,"91,850.00",0,18,"91,850.00",0,"8,267.00","8,267.00",0,"1,08,384.00"
SCT/2500,01-12-2025,SHARMA MARBLES,09BCIPS0200H1ZU,GORAKHPUR,Uttar Pradesh,CERAMIC GLAZE TILES,69072300,1440,"82,080.00",287.67,18,"82,367.64","14,825.98",0,0,0,"1,06,778.00"
SCT/2500,01-12-2025,SHARMA MARBLES,09BCIPS0200H1ZU,GORAKHPUR,Uttar Pradesh,CERAMIC GLAZE TILES,69072300,142,"8,094.00",28.33,18,"8,122.36","1,462.02",0,0,0,"1,06,778.00"
SCT/2501,01-12-2025,AMPRA CERAMICS,24AMEPA1942K1ZE,Rajkot,Gujarat,BROKEN TILES,69072300,19890,"5,967.00",0,18,"5,967.00",0,537,537,0,"7,041.00"
SCT/2502,01-12-2025,SHRI HARIKRISHNA ENTERPRISES,27AEAFS2791C1Z4,THANE,Maharashtra,CERAMIC GLAZE TILES,69072300,4045,"2,02,250.00",708,18,"2,02,958.00","36,532.00",0,0,0,"2,39,490.00"
SCT/2503,01-12-2025,HIMALAYA ENTERPRISE,27BSCPS5067E1ZK,PALGHAR,Maharashtra,CERAMIC GLAZE TILES,69072300,2363,"1,41,780.00",495.92,18,"1,42,275.99","25,609.93",0,0,0,"2,07,495.00"
SCT/2503,01-12-2025,HIMALAYA ENTERPRISE,27BSCPS5067E1ZK,PALGHAR,Maharashtra,CERAMIC GLAZE TILES,69072300,1013,"30,390.00",106.37,18,"30,496.31","5,489.34",0,0,0,"2,07,495.00"
SCT/2503,01-12-2025,HIMALAYA ENTERPRISE,27BSCPS5067E1ZK,PALGHAR,Maharashtra,CERAMIC GLAZE TILES,69072300,51,"3,060.00",10.71,18,"3,070.70",552.73,0,0,0,"2,07,495.00"
SCT/2504,01-12-2025,MAHADEV GRANITE AND SANITARY,08BBLPC2524A1ZA,Malsa Baori,Rajasthan,CERAMIC GLAZE TILES,69072300,573,"31,515.00",110.5,18,"31,625.45","5,693.06",0,0,0,"50,344.00"
SCT/2504,01-12-2025,MAHADEV GRANITE AND SANITARY,08BBLPC2524A1ZA,Malsa Baori,Rajasthan,CERAMIC GLAZE TILES,69072300,200,"11,000.00",38.5,18,"11,038.55","1,986.94",0,0,0,"50,344.00"
SCT/2505,01-12-2025,BHOOMI TILES AND STONE,27AHGPG5644M2ZZ,NAGPUR,Maharashtra,CERAMIC GLAZE TILES,69072300,386,"23,160.00",81,18,"23,241.00","4,183.00",0,0,0,"27,424.00"
SCT/2506,01-12-2025,SHREE KRISHNA MARBLE.,08DJEPK8279M2ZC,JALORE,Rajasthan,CERAMIC GLAZE TILES,69072300,2359,"1,36,822.00",479.25,18,"1,37,301.23","24,714.24",0,0,0,"1,70,051.00"
SCT/2506,01-12-2025,SHREE KRISHNA MARBLE.,08DJEPK8279M2ZC,JALORE,Rajasthan,CERAMIC GLAZE TILES,69072300,117,"6,786.00",23.75,18,"6,809.77","1,225.76",0,0,0,"1,70,051.00"
SCT/2507,01-12-2025,SHREE KRISHNA MARBLE.,08DJEPK8279M2ZC,JALORE,Rajasthan,BROKEN TILES,69072300,10200,"3,060.00",11,18,"3,071.00",553,0,0,0,"3,624.00"
